Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"192.168.1.1",36207,6,2354,6,2354,0,0
"192.168.1.1",36209,2,884,2,884,0,0
"192.168.1.1",36224,2,884,2,884,0,0
"192.168.1.1",36229,6,2354,6,2354,0,0
"192.168.1.1",36232,6,2354,6,2354,0,0
"192.168.1.1",36234,1,92,1,92,0,0
"192.168.1.1",36248,6,2354,6,2354,0,0
"192.168.1.1",36261,6,2354,6,2354,0,0
"192.168.1.1",36262,6,2354,6,2354,0,0
"192.168.1.1",36272,6,2354,6,2354,0,0
"192.168.1.1",36284,1,415,1,415,0,0
