Address,Port,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"192.168.1.31",65436,26,6562,14,1380,12,5182
"192.168.1.31",65439,75,18548,33,7961,42,10587
"192.168.1.31",65442,22,5632,12,1967,10,3665
"192.168.1.31",65443,23,8762,10,1431,13,7331
"192.168.1.31",65445,76,49085,26,4003,50,45082
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65448,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65449,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65450,1,86,1,86,0,0
"192.168.1.31",65451,201,212009,43,3727,158,208282
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65452,1,86,1,86,0,0
"192.168.1.31",65453,42,4020,21,1805,21,2215
"192.168.1.31",65454,19,2378,8,1132,11,1246
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65455,1,86,1,86,0,0
"192.168.1.31",65456,133,138803,25,2581,108,136222
"192.168.1.31",65457,19,2354,9,1174,10,1180
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65458,1,86,1,86,0,0
"2001:14ba:a051:8c00:15a0:90ff:ab54:3867",65459,1,86,1,86,0,0
"192.168.1.31",65460,3217,4105012,497,39315,2720,4065697
"192.168.1.31",65461,39,3085,19,1620,20,1465
"192.168.1.31",65465,74,48987,26,4003,48,44984
"192.168.1.31",65475,404,42322,170,15711,234,26611
"192.168.1.31",65477,24,5741,14,2076,10,3665
"192.168.1.31",65483,40,10329,19,2449,21,7880
"192.168.1.31",65484,22,7525,11,1171,11,6354
"192.168.1.31",65507,25,7949,13,2750,12,5199
"192.168.1.31",65517,40,10876,19,3028,21,7848
"192.168.1.31",65519,35,10898,16,3264,19,7634
"192.168.1.31",65520,34,10837,15,3203,19,7634
"192.168.1.31",65521,35,10909,16,3274,19,7635
