srcip,srcport,dstip,dstport,proto,duration
130.233.226.86,2048.0,130.233.145.193,,1.0,0.0
130.233.145.16,138.0,130.233.145.255,138.0,17.0,0.0
54.65.70.208,2048.0,130.233.145.193,61189.0,1.0,0.0
130.233.145.193,59944.0,130.233.227.12,111.0,6.0,13356.0
130.233.145.193,41422.0,185.64.189.110,443.0,6.0,5914000.0
130.233.145.156,137.0,130.233.145.255,137.0,17.0,1507199.0
130.233.145.193,0.0,130.233.226.86,51181.0,1.0,
130.233.145.193,0.0,130.233.226.86,25990.0,1.0,0.0
130.233.145.193,55628.0,104.27.143.249,443.0,6.0,2612939.0
130.233.226.86,2048.0,130.233.145.193,52149.0,1.0,0.0
130.233.145.135,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,52126.0,,443.0,6.0,5298162.0
130.233.226.86,51874.0,130.233.145.193,10050.0,6.0,1029.0
130.233.226.86,2048.0,130.233.145.193,28092.0,1.0,0.0
130.233.145.193,60760.0,130.233.227.12,635.0,17.0,3612.0
130.233.145.83,8612.0,130.233.145.255,8610.0,17.0,248581124.0
130.233.145.193,42326.0,130.233.226.86,10051.0,6.0,
130.233.145.193,59334.0,54.171.13.176,443.0,6.0,54241708.0
130.233.251.5,54044.0,130.233.145.193,137.0,17.0,
,2048.0,130.233.145.193,19828.0,1.0,0.0
130.233.145.193,0.0,13.234.221.188,25458.0,1.0,0.0
130.233.226.86,,130.233.145.193,41589.0,1.0,0.0
130.233.226.86,38526.0,130.233.145.193,10050.0,6.0,677.0
130.233.226.86,2048.0,130.233.145.193,,1.0,0.0
130.233.145.135,138.0,130.233.145.255,138.0,17.0,0.0
130.233.226.86,2048.0,130.233.145.193,59686.0,1.0,0.0
130.233.145.162,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,59186.0,130.233.226.86,10051.0,6.0,
130.233.145.193,50110.0,130.233.251.5,53.0,17.0,595552131.0
,45852.0,130.233.227.12,111.0,6.0,
130.233.226.86,43298.0,130.233.145.193,10050.0,6.0,2441.0
130.233.145.193,50452.0,91.198.174.208,443.0,6.0,177756699.0
130.233.145.193,0.0,,24396.0,1.0,0.0
130.233.145.193,60854.0,162.159.130.81,443.0,6.0,174808225.0
130.233.226.86,2048.0,130.233.145.193,49975.0,1.0,0.0
130.233.145.193,50580.0,91.198.174.208,443.0,6.0,
,48938.0,192.0.72.31,443.0,6.0,26064.0
,41484.0,185.64.189.110,,6.0,6047894.0
130.233.226.86,2048.0,130.233.145.193,38967.0,1.0,0.0
130.233.145.66,138.0,130.233.145.255,138.0,17.0,0.0
130.233.145.193,60801.0,130.233.227.12,111.0,6.0,2071.0
130.233.226.86,34456.0,130.233.145.193,10050.0,6.0,1294.0
