Date,Price (USD)
05/15/2020,9152.64
05/14/2020,9094.43
05/13/2020,9000.08
05/12/2020,9112.45
05/11/2020,9298.92
05/08/2020,9220.35
05/07/2020,9101.88
05/06/2020,8984.86
05/05/2020,8930.62
05/04/2020,8834.11
05/01/2020,8718.18
04/30/2020,9000.51
04/29/2020,8982.76
04/28/2020,8677.6
04/27/2020,8837.66
04/24/2020,8786.6
04/23/2020,8641.5
04/22/2020,8664.63
04/21/2020,8403
04/20/2020,8726.51
04/17/2020,8832.41
04/16/2020,8757.83
04/15/2020,8591.96
04/14/2020,8692.16
04/13/2020,8332.74
04/09/2020,8238.53
04/08/2020,8229.54
04/07/2020,8049.31
04/06/2020,8081.66
04/03/2020,7528.11
04/02/2020,7635.66
04/01/2020,7486.29
03/31/2020,7813.5
03/30/2020,7889.01
03/27/2020,7588.37
03/26/2020,7897.13
03/25/2020,7469.62
03/24/2020,7553.82
03/23/2020,7006.92
03/20/2020,6994.29
03/19/2020,7288.52
03/18/2020,7175.18
03/17/2020,7473.95
03/16/2020,7020.38
03/13/2020,7995.26
03/12/2020,7263.65
03/11/2020,8006.12
03/10/2020,8372.27
03/09/2020,7948.03
03/06/2020,8530.34
03/05/2020,8671.66
03/04/2020,8949.28
03/03/2020,8594.49
03/02/2020,8877.98
02/28/2020,8461.83
02/27/2020,8436.67
02/26/2020,8873.76
02/25/2020,8834.87
02/24/2020,9079.63
02/21/2020,9446.69
02/20/2020,9627.83
02/19/2020,9718.73
02/18/2020,9629.8
02/14/2020,9623.58
02/13/2020,9595.7
02/12/2020,9613.2
02/11/2020,9517.86
02/10/2020,9516.84
02/07/2020,9401.1
02/06/2020,9445.92
02/05/2020,9367.48
02/04/2020,9334.06
02/03/2020,9126.23
01/31/2020,8991.51
01/30/2020,9136.09
01/29/2020,9101.61
01/28/2020,9090.93
01/27/2020,8952.18
01/24/2020,9141.47
01/23/2020,9216.98
01/22/2020,9188.57
01/21/2020,9166.63
01/17/2020,9173.73
01/16/2020,9125
01/15/2020,9035.67
01/14/2020,9033.42
01/13/2020,9070.65
01/10/2020,8966.64
01/09/2020,8989.63
01/08/2020,8912.37
01/07/2020,8846.45
01/06/2020,8848.52
01/03/2020,8793.9
01/02/2020,8872.22
12/31/2019,8733.07
12/30/2019,8709.73
12/27/2019,8770.98
12/26/2019,8778.31
12/24/2019,8699.51
12/23/2019,8696.01
12/20/2019,8678.49
12/19/2019,8641.29
12/18/2019,8580.62
12/17/2019,8575.7
12/16/2019,8570.33
12/13/2019,8487.71
12/12/2019,8466.89
12/11/2019,8402.61
12/10/2019,8354.29
12/09/2019,8362.74
12/06/2019,8397.37
12/05/2019,8308.4
12/04/2019,8296.53
12/03/2019,8254.74
12/02/2019,8309.26
11/29/2019,8403.68
11/27/2019,8444.71
11/26/2019,8385.75
11/25/2019,8371.93
11/22/2019,8272.05
11/21/2019,8265.62
11/20/2019,8283.75
11/19/2019,8338.74
11/18/2019,8328.48
11/15/2019,8315.52
11/14/2019,8257.83
11/13/2019,8259.81
11/12/2019,8263.79
11/11/2019,8241.91
11/08/2019,8255.89
11/07/2019,8219.65
11/06/2019,8196.03
11/05/2019,8210.18
11/04/2019,8210.66
11/01/2019,8161.17
10/31/2019,8083.83
10/30/2019,8083.11
10/29/2019,8047.51
10/28/2019,8110.67
10/25/2019,8029.22
10/24/2019,7966.72
10/23/2019,7889.47
10/22/2019,7874.62
10/21/2019,7940.33
10/18/2019,7868.49
10/17/2019,7942.14
10/16/2019,7920.21
10/15/2019,7942.85
10/14/2019,7842.33
10/11/2019,7843.87
10/10/2019,7740.36
10/09/2019,7690.53
10/08/2019,7604.27
10/07/2019,7725.13
10/04/2019,7754.1
10/03/2019,7638.39
10/02/2019,7550.79
10/01/2019,7684.14
09/30/2019,7749.45
09/27/2019,7681.58
09/26/2019,7771.99
09/25/2019,7803.54
09/24/2019,7710.04
09/23/2019,7818.61
09/20/2019,7823.55
09/19/2019,7901.79
09/18/2019,7888.56
09/17/2019,7888.79
09/16/2019,7852.41
09/13/2019,7892.95
09/12/2019,7917.34
09/11/2019,7887.58
09/10/2019,7814.74
09/09/2019,7832.4
09/06/2019,7852.54
09/05/2019,7862.54
09/04/2019,7719.25
09/03/2019,7609.51
08/30/2019,7691
08/29/2019,7702.31
08/28/2019,7587.9
08/27/2019,7566.03
08/26/2019,7575.02
08/23/2019,7464.99
08/22/2019,7707.43
08/21/2019,7733.22
08/20/2019,7664.47
08/19/2019,7719.32
08/16/2019,7604.11
08/15/2019,7484.89
08/14/2019,7490.13
08/13/2019,7728.15
08/12/2019,7561.68
08/09/2019,7646.27
08/08/2019,7724.83
08/07/2019,7551.9
08/06/2019,7521.32
08/05/2019,7415.69
08/02/2019,7692.8
08/01/2019,7801.15
07/31/2019,7848.78
07/30/2019,7952.47
07/29/2019,7989.08
07/26/2019,8016.95
07/25/2019,7929.87
07/24/2019,8010.6
07/23/2019,7954.56
07/22/2019,7905.12
07/19/2019,7834.9
07/18/2019,7904.13
07/17/2019,7888.76
07/16/2019,7927.08
07/15/2019,7966.93
07/12/2019,7943.24
07/11/2019,7896.78
07/10/2019,7903.4
07/09/2019,7826.86
07/08/2019,7785.79
07/05/2019,7841.3
07/03/2019,7857.69
07/02/2019,7799.82
07/01/2019,7768.14
