Date,Price (USD)
07/01/2021,32895.6
06/30/2021,34202.6
06/29/2021,35254.7
06/28/2021,34555.3
06/27/2021,34458.7
06/26/2021,33189.6
06/25/2021,32063.6
06/24/2021,35098.7
06/23/2021,32466.3
06/22/2021,33811.7
06/21/2021,33025.6
06/20/2021,34681
06/19/2021,35636.2
06/18/2021,34963.5
06/17/2021,37940.2
06/16/2021,38834.5
06/15/2021,40023.9
06/14/2021,40479.3
06/13/2021,38826.4
06/12/2021,34950.8
06/11/2021,35339.5
06/10/2021,36665.9
06/09/2021,37012.9
06/08/2021,32952.3
06/07/2021,32869
06/06/2021,36404.7
06/05/2021,35968.9
06/04/2021,37419.3
06/03/2021,37877.1
06/02/2021,37581.7
06/01/2021,36395.6
05/31/2021,36617.3
05/30/2021,34408.7
05/29/2021,34670.7
05/28/2021,36324.7
05/27/2021,37973.8
05/26/2021,37470
05/25/2021,39444.5
05/24/2021,38288.4
05/23/2021,35298.3
05/22/2021,37436.4
05/21/2021,36906.3
05/20/2021,40779.5
05/19/2021,38220.1
05/18/2021,40569
05/17/2021,44847.2
05/16/2021,43493.4
05/15/2021,47875.9
05/14/2021,49762.8
05/13/2021,49391.5
05/12/2021,49715.2
05/11/2021,57752.6
05/10/2021,55126.4
05/09/2021,59352.4
05/08/2021,58976.3
05/07/2021,58058.1
05/06/2021,55920
05/05/2021,56860.9
05/04/2021,55085.6
05/03/2021,55470.2
05/02/2021,57961.5
05/01/2021,56591
04/30/2021,58188.8
04/29/2021,53667
04/28/2021,54165.8
04/27/2021,55019.8
04/26/2021,53527.9
04/25/2021,52265.6
04/24/2021,49705.9
04/23/2021,50207
04/22/2021,50197.1
04/21/2021,53351.4
04/20/2021,55500.5
04/19/2021,54759.9
04/18/2021,57230.4
04/17/2021,53728.9
04/16/2021,62376.3
04/15/2021,63063.3
04/14/2021,63001.1
04/13/2021,63809
04/12/2021,60535.5
04/11/2021,60211.2
04/10/2021,60319.8
04/09/2021,59119.4
04/08/2021,58081.2
04/07/2021,56580.9
04/06/2021,57907.1
04/05/2021,58800.4
04/04/2021,57555.1
04/03/2021,57325.1
04/02/2021,59205.3
04/01/2021,59733.7
03/31/2021,58995.8
03/30/2021,58534.6
03/29/2021,57141
03/28/2021,55393.9
03/27/2021,56133.6
03/26/2021,54751.7
03/25/2021,52428.5
03/24/2021,52136.7
03/23/2021,54444.7
03/22/2021,54577
03/21/2021,57316.4
03/20/2021,57754.5
03/19/2021,58296.2
03/18/2021,57859.3
03/17/2021,58727.6
03/16/2021,55835.2
03/15/2021,54269.4
03/14/2021,60375.5
03/13/2021,61218.9
03/12/2021,56485.1
03/11/2021,56710.6
03/10/2021,55667.1
03/09/2021,53565.5
03/08/2021,53878.4
03/07/2021,50411.2
03/06/2021,49501.2
03/05/2021,48447.7
03/04/2021,47132
03/03/2021,49278.1
03/02/2021,49207.5
03/01/2021,49053
02/28/2021,46566.6
02/27/2021,44741
02/26/2021,47762.9
02/25/2021,47020
02/24/2021,49822.7
02/23/2021,50884.3
02/22/2021,50379
02/21/2021,55531.8
02/20/2021,56537.3
02/19/2021,55941.9
02/18/2021,51137.3
02/17/2021,52070.7
02/16/2021,49273.4
02/15/2021,49224.3
02/14/2021,46784.5
02/13/2021,47564.1
02/12/2021,47856.3
02/11/2021,47123.7
02/10/2021,44618.5
02/09/2021,46010.7
02/08/2021,46400.5
02/07/2021,38611.7
02/06/2021,37990.1
02/05/2021,39259.4
02/04/2021,37299.4
02/03/2021,37634.5
02/02/2021,36609.2
02/01/2021,33869.6
01/31/2021,33580.3
