Address,Port,Packets,Bytes,Total Packets,Percent Filtered,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56514,5,430,0,0,5,430,0,0
"2603:1026:3000:108::3",443,5,430,0,0,0,0,5,430
"192.168.1.177",56517,53,368331,0,0,22,3778,31,364553
"192.168.1.177",56518,14,5921,0,0,8,1306,6,4615
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56519,1,86,0,0,1,86,0,0
"2a00:1450:4026:802::200e",443,1,86,0,0,0,0,1,86
"192.168.1.177",56520,39,11992,0,0,20,2873,19,9119
"216.58.209.174",443,153,41262,0,0,76,29607,77,11655
"192.168.1.177",56521,32,3035,0,0,17,1379,15,1656
"192.168.1.62",50987,8,531,0,0,5,357,3,174
"192.168.1.177",56523,66,12743,0,0,31,7178,35,5565
"192.168.1.177",56525,902,242493,0,0,433,135907,469,106586
"162.55.98.14",443,1150,300504,0,0,597,138970,553,161534
"192.168.1.177",50102,2558,10667609,0,0,619,45425,1939,10622184
"192.168.1.177",50110,30,3682,0,0,18,1514,12,2168
"192.168.1.62",51008,8,531,0,0,5,357,3,174
"192.168.1.177",56530,19,4419,0,0,10,2932,9,1487
"192.168.1.62",51011,8,531,0,0,5,357,3,174
"192.168.1.62",51019,8,531,0,0,5,357,3,174
"192.168.1.62",51031,8,531,0,0,5,357,3,174
"192.168.1.177",56544,76,197810,0,0,36,4998,40,192812
"192.168.1.62",51045,8,531,0,0,5,357,3,174
"192.168.1.177",56548,79,15517,0,0,36,5825,43,9692
"192.168.1.62",51083,8,531,0,0,5,357,3,174
"192.168.1.177",56555,37,10053,0,0,18,2356,19,7697
"192.168.1.62",51098,8,531,0,0,5,357,3,174
"192.168.1.62",51137,8,531,0,0,5,357,3,174
"192.168.1.177",56563,28,4005,0,0,15,2416,13,1589
"192.168.1.177",56564,56,9144,0,0,29,6016,27,3128
"192.168.1.177",56566,71,102691,0,0,23,4033,48,98658
"192.168.1.62",51153,8,531,0,0,5,357,3,174
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56569,1,86,0,0,1,86,0,0
"2a02:26f0:5200::b81f:f89",443,3,258,0,0,0,0,3,258
"192.168.1.177",56570,32,12464,0,0,16,3626,16,8838
"2.22.244.241",443,32,12464,0,0,16,8838,16,3626
"192.168.1.62",51178,8,531,0,0,5,357,3,174
"192.168.1.62",51184,8,531,0,0,5,357,3,174
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56576,1,86,0,0,1,86,0,0
"2a02:3d0:640:a000::",80,2,172,0,0,0,0,2,172
"192.168.1.177",56577,11,1152,0,0,6,618,5,534
"178.79.212.129",80,21,2251,0,0,9,1015,12,1236
"192.168.1.177",56581,35,8629,0,0,15,2295,20,6334
"40.114.178.124",443,791,2988267,0,0,478,2953960,313,34307
"192.168.1.62",51198,8,531,0,0,5,357,3,174
"192.168.1.177",56585,33,39254,0,0,16,3077,17,36177
"216.58.211.234",443,2997,11389162,0,0,1778,11245762,1219,143400
"192.168.1.177",56587,690,450679,0,0,260,34641,430,416038
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56588,5,430,0,0,5,430,0,0
"192.168.1.177",56589,32,8241,0,0,17,2016,15,6225
"192.168.1.177",56590,18,7276,0,0,8,1399,10,5877
"192.168.1.177",56591,20,7384,0,0,9,1453,11,5931
"192.168.1.177",56592,20,7384,0,0,9,1453,11,5931
"192.168.1.177",56593,21,7438,0,0,10,1507,11,5931
"192.168.1.62",51210,8,531,0,0,5,357,3,174
"192.168.1.177",56595,23,7279,0,0,12,2178,11,5101
"40.127.240.158",443,23,7279,0,0,11,5101,12,2178
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56597,5,430,0,0,5,430,0,0
"192.168.1.177",56598,40,10889,0,0,21,3160,19,7729
"192.168.1.177",56599,63,111689,0,0,23,3825,40,107864
"192.168.1.177",56602,15,1268,0,0,8,553,7,715
"192.168.1.177",56603,26,6538,0,0,14,1380,12,5158
"192.168.1.62",51217,8,531,0,0,5,357,3,174
"192.168.1.62",51240,8,531,0,0,5,357,3,174
"192.168.1.177",56609,14,3954,0,0,8,1407,6,2547
"192.168.1.177",50066,20,2454,0,0,12,1009,8,1445
"192.168.1.62",51248,8,531,0,0,5,357,3,174
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56617,1,86,0,0,1,86,0,0
