Address,Port,Packets,Bytes,Total Packets,Percent Filtered,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes
"fe80::f17b:6c72:fea6:5dc5",55348,2,186,0,0,2,186,0,0
"192.168.1.62",55348,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",54622,2,186,0,0,2,186,0,0
"192.168.1.62",54622,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",49727,4,372,0,0,4,372,0,0
"192.168.1.62",49727,4,292,0,0,4,292,0,0
"fe80::f17b:6c72:fea6:5dc5",60462,2,186,0,0,2,186,0,0
"192.168.1.62",60462,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",65092,2,186,0,0,2,186,0,0
"192.168.1.62",65092,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",52739,2,186,0,0,2,186,0,0
"192.168.1.62",52739,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",55399,2,186,0,0,2,186,0,0
"192.168.1.62",55399,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",51164,2,186,0,0,2,186,0,0
"192.168.1.62",51164,2,146,0,0,2,146,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",54740,2,206,0,0,2,206,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",64471,2,206,0,0,2,206,0,0
"192.168.1.1",44667,1,92,0,0,1,92,0,0
"192.168.1.177",64471,2,194,0,0,1,83,1,111
"192.168.1.177",54740,2,182,0,0,1,83,1,99
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",54772,1,103,0,0,1,103,0,0
"192.168.1.177",54772,2,182,0,0,1,83,1,99
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",49169,1,103,0,0,1,103,0,0
"192.168.1.177",49169,2,194,0,0,1,83,1,111
"fe80::f17b:6c72:fea6:5dc5",64475,2,186,0,0,2,186,0,0
"192.168.1.62",64475,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",62700,2,186,0,0,2,186,0,0
"fe80::f17b:6c72:fea6:5dc5",49666,103,9567,0,0,103,9567,0,0
"192.168.1.62",49666,102,7440,0,0,102,7440,0,0
"192.168.1.62",62700,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",64264,2,186,0,0,2,186,0,0
"192.168.1.62",64264,2,146,0,0,2,146,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",50440,1,103,0,0,1,103,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",64509,1,103,0,0,1,103,0,0
"192.168.1.177",64509,2,222,0,0,1,83,1,139
"192.168.1.177",50440,2,182,0,0,1,83,1,99
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",62490,1,103,0,0,1,103,0,0
"192.168.1.177",62490,2,182,0,0,1,83,1,99
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",63534,12,1259,0,0,12,1259,0,0
"192.168.1.177",63534,48,5244,0,0,24,2009,24,3235
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",59451,1,103,0,0,1,103,0,0
"192.168.1.177",59451,2,182,0,0,1,83,1,99
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",65202,1,103,0,0,1,103,0,0
"192.168.1.177",65202,2,182,0,0,1,83,1,99
"fe80::f17b:6c72:fea6:5dc5",58645,4,372,0,0,4,372,0,0
"192.168.1.62",58645,4,292,0,0,4,292,0,0
"fe80::f17b:6c72:fea6:5dc5",65176,2,186,0,0,2,186,0,0
"fe80::f17b:6c72:fea6:5dc5",62215,2,186,0,0,2,186,0,0
"192.168.1.62",65176,2,146,0,0,2,146,0,0
"192.168.1.62",62215,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",52375,2,186,0,0,2,186,0,0
"192.168.1.62",52375,2,146,0,0,2,146,0,0
"192.168.1.1",58294,6,2354,0,0,6,2354,0,0
"192.168.1.1",39950,2,884,0,0,2,884,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",52316,1,89,0,0,1,89,0,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",65183,1,89,0,0,1,89,0,0
"fe80::f17b:6c72:fea6:5dc5",59668,2,186,0,0,2,186,0,0
"192.168.1.62",59668,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",56341,2,186,0,0,2,186,0,0
"192.168.1.62",56341,2,146,0,0,2,146,0,0
"192.168.1.177",65183,4,312,0,0,2,140,2,172
"192.168.1.177",52316,4,394,0,0,2,157,2,237
"fe80::f17b:6c72:fea6:5dc5",57881,2,186,0,0,2,186,0,0
"192.168.1.62",57881,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",62095,2,186,0,0,2,186,0,0
"192.168.1.62",62095,2,146,0,0,2,146,0,0
"192.168.1.1",56494,6,2354,0,0,6,2354,0,0
"192.168.1.1",44418,2,884,0,0,2,884,0,0
"fe80::f17b:6c72:fea6:5dc5",59091,2,186,0,0,2,186,0,0
"192.168.1.62",59091,2,146,0,0,2,146,0,0
"fe80::f17b:6c72:fea6:5dc5",62859,2,186,0,0,2,186,0,0
"192.168.1.62",62859,2,146,0,0,2,146,0,0
